iter	train_loss	test_loss	accuracy@1	accuracy@3	accuracy@5	accuracy@10
0	4.1701e+00	4.1507e+00	3.9000	7.5000	11.2000	16.1000
2000	3.9040e+00	3.9590e+00	4.8000	11.9000	18.9000	36.5000
4000	3.7963e+00	3.7900e+00	5.4000	13.6000	23.6000	40.5000
6000	2.9721e+00	3.1094e+00	14.3000	36.0000	50.9000	71.4000
8000	2.2647e+00	2.4356e+00	24.9000	56.4000	72.5000	87.6000
10000	1.8758e+00	2.0880e+00	29.6000	64.9000	79.0000	94.4000
12000	1.7982e+00	1.9104e+00	32.8000	67.4000	83.1000	96.8000
14000	1.7005e+00	1.8047e+00	34.4000	71.7000	86.1000	98.1000
16000	1.6536e+00	1.7796e+00	35.1000	71.8000	85.7000	98.3000
18000	1.5706e+00	1.7312e+00	35.8000	73.0000	88.1000	98.3000
20000	1.5048e+00	1.6370e+00	41.2000	75.5000	90.1000	99.1000
22000	1.5603e+00	1.6029e+00	44.8000	77.0000	90.5000	99.0000
24000	1.4996e+00	1.5966e+00	42.8000	76.8000	90.8000	99.3000
26000	1.5582e+00	1.5722e+00	44.8000	77.4000	91.2000	99.2000
28000	1.5644e+00	1.5647e+00	44.5000	76.6000	91.7000	99.1000
30000	1.5010e+00	1.6469e+00	36.2000	75.4000	91.2000	99.1000
32000	1.4431e+00	1.6457e+00	37.0000	76.1000	90.0000	99.2000
34000	1.5148e+00	1.6278e+00	37.8000	77.3000	91.9000	99.3000
36000	1.5664e+00	1.6224e+00	38.1000	76.1000	91.9000	99.2000
38000	1.5371e+00	1.6112e+00	39.2000	77.9000	92.0000	99.3000
40000	1.3821e+00	1.5748e+00	42.6000	76.3000	90.8000	99.7000
42000	1.4727e+00	1.5618e+00	41.4000	77.6000	91.4000	99.5000
44000	1.4813e+00	1.5371e+00	42.1000	77.9000	91.7000	99.4000
46000	1.4787e+00	1.5510e+00	41.5000	77.9000	90.9000	99.5000
48000	1.4052e+00	1.5378e+00	41.8000	78.0000	92.1000	99.4000
50000	1.4677e+00	1.4798e+00	44.1000	79.1000	93.7000	99.6000
52000	1.4397e+00	1.4750e+00	45.0000	78.8000	93.2000	99.7000
54000	1.4907e+00	1.4698e+00	45.2000	79.9000	93.5000	99.9000
56000	1.5210e+00	1.4701e+00	44.6000	78.9000	93.0000	99.7000
58000	1.4116e+00	1.4721e+00	45.9000	80.2000	93.5000	99.9000
60000	1.4642e+00	1.4481e+00	46.3000	80.0000	93.2000	99.6000
62000	1.3830e+00	1.4507e+00	45.2000	80.2000	93.2000	99.5000
64000	1.5123e+00	1.3913e+00	46.9000	80.9000	94.1000	99.6000
66000	1.4406e+00	1.4332e+00	44.6000	81.5000	93.7000	99.4000
68000	1.4826e+00	1.4361e+00	46.0000	80.3000	94.0000	99.5000
70000	1.4683e+00	1.4866e+00	43.5000	79.6000	92.5000	99.4000
